0000: (x=48, y=45), used=1
0001: (x=1970, y=45), used=1
0002: (x=48, y=99), used=2
0003: (x=329, y=99), used=2
0004: (x=1157, y=99), used=0
0005: (x=1352, y=99), used=0
0006: (x=1970, y=99), used=2
0007: (x=48, y=144), used=2
0008: (x=329, y=144), used=2
0009: (x=839, y=144), used=0
0010: (x=1157, y=144), used=0
0011: (x=1248, y=144), used=0
0012: (x=1970, y=144), used=2
0013: (x=48, y=187), used=2
0014: (x=125, y=187), used=2
0015: (x=329, y=187), used=2
0016: (x=521, y=187), used=2
0017: (x=839, y=187), used=0
0018: (x=1157, y=187), used=0
0019: (x=1248, y=187), used=0
0020: (x=1352, y=187), used=2
0021: (x=1542, y=187), used=2
0022: (x=1654, y=187), used=2
0023: (x=1771, y=187), used=2
0024: (x=1970, y=187), used=2
0025: (x=329, y=243), used=2
0026: (x=419, y=243), used=2
0027: (x=521, y=243), used=4
0028: (x=646, y=243), used=2
0029: (x=742, y=243), used=2
0030: (x=839, y=243), used=2
0031: (x=940, y=243), used=2
0032: (x=1052, y=243), used=2
0033: (x=1157, y=243), used=2
0034: (x=1248, y=243), used=2
0035: (x=1352, y=243), used=4
0036: (x=1439, y=243), used=2
0037: (x=1542, y=243), used=2
0038: (x=1771, y=243), used=2
0039: (x=1970, y=243), used=2
0040: (x=48, y=371), used=2
0041: (x=125, y=371), used=4
0042: (x=329, y=371), used=4
0043: (x=419, y=371), used=4
0044: (x=521, y=371), used=4
0045: (x=646, y=371), used=4
0046: (x=742, y=371), used=4
0047: (x=839, y=371), used=4
0048: (x=940, y=371), used=4
0049: (x=1052, y=371), used=4
0050: (x=1157, y=371), used=4
0051: (x=1248, y=371), used=4
0052: (x=1352, y=371), used=4
0053: (x=1439, y=371), used=4
0054: (x=1542, y=371), used=4
0055: (x=1654, y=371), used=4
0056: (x=1771, y=371), used=4
0057: (x=1970, y=371), used=2
0058: (x=48, y=423), used=2
0059: (x=125, y=423), used=4
0060: (x=329, y=423), used=4
0061: (x=419, y=423), used=4
0062: (x=521, y=423), used=4
0063: (x=646, y=423), used=4
0064: (x=742, y=423), used=4
0065: (x=839, y=423), used=4
0066: (x=940, y=423), used=4
0067: (x=1052, y=423), used=4
0068: (x=1157, y=423), used=4
0069: (x=1248, y=423), used=4
0070: (x=1352, y=423), used=4
0071: (x=1439, y=423), used=4
0072: (x=1542, y=423), used=4
0073: (x=1654, y=423), used=4
0074: (x=1771, y=423), used=4
0075: (x=1970, y=423), used=2
0076: (x=48, y=475), used=2
0077: (x=125, y=475), used=4
0078: (x=329, y=475), used=4
0079: (x=419, y=475), used=4
0080: (x=521, y=475), used=4
0081: (x=646, y=475), used=4
0082: (x=742, y=475), used=4
0083: (x=839, y=475), used=4
0084: (x=940, y=475), used=4
0085: (x=1052, y=475), used=4
0086: (x=1157, y=475), used=4
0087: (x=1248, y=475), used=4
0088: (x=1352, y=475), used=4
0089: (x=1439, y=475), used=4
0090: (x=1542, y=475), used=4
0091: (x=1654, y=475), used=4
0092: (x=1771, y=475), used=4
0093: (x=1970, y=475), used=2
0094: (x=48, y=527), used=2
0095: (x=125, y=527), used=4
0096: (x=329, y=527), used=4
0097: (x=419, y=527), used=4
0098: (x=521, y=527), used=4
0099: (x=646, y=527), used=4
0100: (x=742, y=527), used=4
0101: (x=839, y=527), used=4
0102: (x=940, y=527), used=4
0103: (x=1052, y=527), used=4
0104: (x=1157, y=527), used=4
0105: (x=1248, y=527), used=4
0106: (x=1352, y=527), used=4
0107: (x=1439, y=527), used=4
0108: (x=1542, y=527), used=4
0109: (x=1654, y=527), used=4
0110: (x=1771, y=527), used=4
0111: (x=1970, y=527), used=2
0112: (x=48, y=579), used=2
0113: (x=125, y=579), used=4
0114: (x=329, y=579), used=4
0115: (x=419, y=579), used=4
0116: (x=521, y=579), used=4
0117: (x=646, y=579), used=4
0118: (x=742, y=579), used=4
0119: (x=839, y=579), used=4
0120: (x=940, y=579), used=4
0121: (x=1052, y=579), used=4
0122: (x=1157, y=579), used=4
0123: (x=1248, y=579), used=4
0124: (x=1352, y=579), used=4
0125: (x=1439, y=579), used=4
0126: (x=1542, y=579), used=4
0127: (x=1654, y=579), used=4
0128: (x=1771, y=579), used=4
0129: (x=1970, y=579), used=2
0130: (x=48, y=631), used=2
0131: (x=125, y=631), used=4
0132: (x=329, y=631), used=4
0133: (x=419, y=631), used=4
0134: (x=521, y=631), used=4
0135: (x=646, y=631), used=4
0136: (x=742, y=631), used=4
0137: (x=839, y=631), used=4
0138: (x=940, y=631), used=4
0139: (x=1052, y=631), used=4
0140: (x=1157, y=631), used=4
0141: (x=1248, y=631), used=4
0142: (x=1352, y=631), used=4
0143: (x=1439, y=631), used=4
0144: (x=1542, y=631), used=4
0145: (x=1654, y=631), used=4
0146: (x=1771, y=631), used=4
0147: (x=1970, y=631), used=2
0148: (x=48, y=683), used=2
0149: (x=125, y=683), used=4
0150: (x=329, y=683), used=4
0151: (x=419, y=683), used=4
0152: (x=521, y=683), used=4
0153: (x=646, y=683), used=4
0154: (x=742, y=683), used=4
0155: (x=839, y=683), used=4
0156: (x=940, y=683), used=4
0157: (x=1052, y=683), used=4
0158: (x=1157, y=683), used=4
0159: (x=1248, y=683), used=4
0160: (x=1352, y=683), used=4
0161: (x=1439, y=683), used=4
0162: (x=1542, y=683), used=4
0163: (x=1654, y=683), used=4
0164: (x=1771, y=683), used=4
0165: (x=1970, y=683), used=2
0166: (x=48, y=735), used=2
0167: (x=125, y=735), used=4
0168: (x=329, y=735), used=4
0169: (x=419, y=735), used=4
0170: (x=521, y=735), used=4
0171: (x=646, y=735), used=4
0172: (x=742, y=735), used=4
0173: (x=839, y=735), used=4
0174: (x=940, y=735), used=4
0175: (x=1052, y=735), used=4
0176: (x=1157, y=735), used=4
0177: (x=1248, y=735), used=4
0178: (x=1352, y=735), used=4
0179: (x=1439, y=735), used=4
0180: (x=1542, y=735), used=4
0181: (x=1654, y=735), used=4
0182: (x=1771, y=735), used=4
0183: (x=1970, y=735), used=2
0184: (x=48, y=787), used=2
0185: (x=125, y=787), used=4
0186: (x=329, y=787), used=4
0187: (x=419, y=787), used=4
0188: (x=521, y=787), used=4
0189: (x=646, y=787), used=4
0190: (x=742, y=787), used=4
0191: (x=839, y=787), used=4
0192: (x=940, y=787), used=4
0193: (x=1052, y=787), used=4
0194: (x=1157, y=787), used=4
0195: (x=1248, y=787), used=4
0196: (x=1352, y=787), used=4
0197: (x=1439, y=787), used=4
0198: (x=1542, y=787), used=4
0199: (x=1654, y=787), used=4
0200: (x=1771, y=787), used=4
0201: (x=1970, y=787), used=2
0202: (x=48, y=839), used=2
0203: (x=125, y=839), used=4
0204: (x=329, y=839), used=4
0205: (x=419, y=839), used=4
0206: (x=521, y=839), used=4
0207: (x=646, y=839), used=4
0208: (x=742, y=839), used=4
0209: (x=839, y=839), used=4
0210: (x=940, y=839), used=4
0211: (x=1052, y=839), used=4
0212: (x=1157, y=839), used=4
0213: (x=1248, y=839), used=4
0214: (x=1352, y=839), used=4
0215: (x=1439, y=839), used=4
0216: (x=1542, y=839), used=4
0217: (x=1654, y=839), used=4
0218: (x=1771, y=839), used=4
0219: (x=1970, y=839), used=2
0220: (x=48, y=891), used=2
0221: (x=125, y=891), used=4
0222: (x=329, y=891), used=4
0223: (x=419, y=891), used=4
0224: (x=521, y=891), used=4
0225: (x=646, y=891), used=4
0226: (x=742, y=891), used=4
0227: (x=839, y=891), used=4
0228: (x=940, y=891), used=4
0229: (x=1052, y=891), used=4
0230: (x=1157, y=891), used=4
0231: (x=1248, y=891), used=4
0232: (x=1352, y=891), used=4
0233: (x=1439, y=891), used=4
0234: (x=1542, y=891), used=4
0235: (x=1654, y=891), used=4
0236: (x=1771, y=891), used=4
0237: (x=1970, y=891), used=2
0238: (x=48, y=943), used=2
0239: (x=125, y=943), used=4
0240: (x=329, y=943), used=4
0241: (x=419, y=943), used=4
0242: (x=521, y=943), used=4
0243: (x=646, y=943), used=4
0244: (x=742, y=943), used=4
0245: (x=839, y=943), used=4
0246: (x=940, y=943), used=4
0247: (x=1052, y=943), used=4
0248: (x=1157, y=943), used=4
0249: (x=1248, y=943), used=4
0250: (x=1352, y=943), used=4
0251: (x=1439, y=943), used=4
0252: (x=1542, y=943), used=4
0253: (x=1654, y=943), used=4
0254: (x=1771, y=943), used=4
0255: (x=1970, y=943), used=2
0256: (x=48, y=995), used=2
0257: (x=125, y=995), used=4
0258: (x=329, y=995), used=4
0259: (x=419, y=995), used=4
0260: (x=521, y=995), used=4
0261: (x=646, y=995), used=4
0262: (x=742, y=995), used=4
0263: (x=839, y=995), used=4
0264: (x=940, y=995), used=4
0265: (x=1052, y=995), used=4
0266: (x=1157, y=995), used=4
0267: (x=1248, y=995), used=4
0268: (x=1352, y=995), used=4
0269: (x=1439, y=995), used=4
0270: (x=1542, y=995), used=4
0271: (x=1654, y=995), used=4
0272: (x=1771, y=995), used=4
0273: (x=1970, y=995), used=2
0274: (x=48, y=1048), used=2
0275: (x=125, y=1048), used=4
0276: (x=329, y=1048), used=4
0277: (x=419, y=1048), used=4
0278: (x=521, y=1048), used=4
0279: (x=646, y=1048), used=4
0280: (x=742, y=1048), used=4
0281: (x=839, y=1048), used=4
0282: (x=940, y=1048), used=4
0283: (x=1052, y=1048), used=4
0284: (x=1157, y=1048), used=4
0285: (x=1248, y=1048), used=4
0286: (x=1352, y=1048), used=4
0287: (x=1439, y=1048), used=4
0288: (x=1542, y=1048), used=4
0289: (x=1654, y=1048), used=4
0290: (x=1771, y=1048), used=4
0291: (x=1970, y=1048), used=2
0292: (x=48, y=1100), used=2
0293: (x=125, y=1100), used=4
0294: (x=329, y=1100), used=4
0295: (x=419, y=1100), used=4
0296: (x=521, y=1100), used=4
0297: (x=646, y=1100), used=4
0298: (x=742, y=1100), used=4
0299: (x=839, y=1100), used=4
0300: (x=940, y=1100), used=4
0301: (x=1052, y=1100), used=4
0302: (x=1157, y=1100), used=4
0303: (x=1248, y=1100), used=4
