mandals,districts,villages
Chintapalle,Alluri Sitharama Raju,
Chintur,Alluri Sitharama Raju,
Etapaka,Alluri Sitharama Raju,
Kunavaram,Alluri Sitharama Raju,
Vararamachandrapuram,Alluri Sitharama Raju,
Ananthagiri,Alluri Sitharama Raju,
Araku Valley,Alluri Sitharama Raju,
Dumbriguda,Alluri Sitharama Raju,
G. Madugula,Alluri Sitharama Raju,
Devipatnam,Alluri Sitharama Raju,
Gangavaram,Alluri Sitharama Raju,
Maredumilli,Alluri Sitharama Raju,
Munchingi Puttu,Alluri Sitharama Raju,
Rajavommangi,Alluri Sitharama Raju,
Rampachodavaram,Alluri Sitharama Raju,
Y. Ramavaram,Alluri Sitharama Raju,
Anakapalle,Anakapalli,
Atchutapuram,Anakapalli,
Butchayyapeta,Anakapalli,
Chodavaram,Anakapalli,
Devarapalli,Anakapalli,
Elamanchili,Anakapalli,
K.Kotapadu,Anakapalli,
Kasimkota,Anakapalli,
Munagapaka,Anakapalli,
Paravada,Anakapalli,
Rambilli,Anakapalli,
Sabbavaram,Anakapalli,
Cheedikada,Anakapalli,
Golugonda,Anakapalli,
Kotauratla,Anakapalli,
Madugula,Anakapalli,
Makavarapalem,Anakapalli,
Nakkapalle,Anakapalli,
Narsipatnam,Anakapalli,
Nathavaram,Anakapalli,
Payakaraopeta,Anakapalli,
Ravikamatham,Anakapalli,
Rolugunta,Anakapalli,
Sarvasiddhi Rayavaram,Anakapalli,
Anantapur,Anantapuramu,
Atmakur,Anantapuramu,
Bukkaraya Samudram,Anantapuramu,
Garladinne,Anantapuramu,
Kudair,Anantapuramu,
Narpala,Anantapuramu,
Peddapappur,Anantapuramu,
Putlur,Anantapuramu,
Raptadu,Anantapuramu,
Singanamala,Anantapuramu,
Tadipatri,Anantapuramu,
Yellanur,Anantapuramu,
Gooty,Anantapuramu,
Guntakal,Anantapuramu,
Pamidi,Anantapuramu,
Peddavadugur,Anantapuramu,
Uravakonda,Anantapuramu,
Vajrakarur,Anantapuramu,
Vidapanakal,Anantapuramu,
Yadiki,Anantapuramu,
Beluguppa,Anantapuramu,
Bommanahal,Anantapuramu,
Brahmasamudram,Anantapuramu,
D.Hirehal,Anantapuramu,
Gummagatta,Anantapuramu,
Kalyandurg,Anantapuramu,
Kambadur,Anantapuramu,
